Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0141,157.86,-43.21,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0
HYDRA-0142,159.79,-43.21,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0
HYDRA-0143,161.71,-43.21,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0,58540.0
HYDRA-0144,163.64,-43.21,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0
HYDRA-0145,151.48,-44.57,58469.0,58469.0,58469.0,58469.0,58469.0,58469.0,58469.0,58469.0,58469.0,58469.0,58469.0,58469.0
HYDRA-0146,153.44,-44.57,58479.0,58479.0,58479.0,58479.0,58479.0,58479.0,58479.0,58479.0,58488.0,58479.0,58488.0,58488.0
HYDRA-0147,155.41,-44.57,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0,58513.0
HYDRA-0148,157.38,-44.57,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0,58528.0
HYDRA-0149,159.35,-44.57,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0
HYDRA-0150,161.31,-44.57,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0,58544.0
HYDRA-0151,163.28,-44.57,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0
HYDRA-0152,150.84,-45.93,58465.0,58465.0,58465.0,58465.0,58465.0,58465.0,58465.0,58465.0,58465.0,58465.0,58465.0,58465.0
HYDRA-0153,152.85,-45.93,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0,58481.0
HYDRA-0154,154.86,-45.93,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0,58229.0
HYDRA-0155,156.87,-45.93,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0,58518.0
HYDRA-0156,158.88,-45.93,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0,58530.0
HYDRA-0157,160.9,-45.93,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0
